Vendor account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose
101776,5100073989,20190919,Gen,2019/08/20 N030 ,USD,10633,-2780,-295597,,,
101824,5100073666,20190930,Gen,2019/08/05 E030 ,JPY,100,-44571,-44571,,,
101824,5100073693,20190930,Gen,2019/08/07 E030 ,JPY,100,-67154,-67154,,,
101824,5100073694,20190930,Gen,2019/08/07 E030 ,JPY,100,-48546,-48546,,,
101824,5100073695,20190930,Gen,2019/08/07 E030 ,JPY,100,-89046,-89046,,,
101824,5100073802,20190930,Gen,2019/08/09 E030 ,JPY,100,-412020,-412020,,,
101824,5100073803,20190930,Gen,2019/08/09 E030 ,JPY,100,-32346,-32346,,,
101824,5100073823,20190930,Gen,2019/08/19 E030 ,JPY,100,-9234,-9234,,,
101824,5100073990,20190930,Gen,2019/08/20 E030 ,JPY,100,-52866,-52866,,,
101824,5100074010,20190930,Gen,2019/08/21 E030 ,JPY,100,-185760,-185760,,,
101824,5100074011,20190930,Gen,2019/08/21 E030 ,JPY,100,-31806,-31806,,,
101824,5100074012,20190930,Gen,2019/08/21 E030 ,JPY,100,-251964,-251964,,,
101824,5100074077,20190930,Gen,2019/08/22 E030 ,JPY,100,-139428,-139428,,,
101824,5100074207,20190930,Gen,2019/08/23 E030 ,JPY,100,-72630,-72630,,,
101824,5100074208,20190930,Gen,2019/08/23 E030 ,JPY,100,-67932,-67932,,,
101824,5100074209,20190930,Gen,2019/08/23 E030 ,JPY,100,-33350,-33350,,,
101824,5100074210,20190930,Gen,2019/08/23 E030 ,JPY,100,-83354,-83354,,,
101824,5100074211,20190930,Gen,2019/08/23 E030 ,JPY,100,-166104,-166104,,,
101824,5100074212,20190930,Gen,2019/08/23 E030 ,JPY,100,-43113,-43113,,,
101824,5100074213,20190930,Gen,2019/08/23 E030 ,JPY,100,-46548,-46548,,,
101824,5100074214,20190930,Gen,2019/08/23 E030 ,JPY,100,-89154,-89154,,,
101824,5100074215,20190930,Gen,2019/08/23 E030 ,JPY,100,-169687,-169687,,,
101824,5100074216,20190930,Gen,2019/08/23 E030 ,JPY,100,-169687,-169687,,,
