Customer account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose
10000092,90990015,20190707,GEN,HW20723420-5,USD,10633,4400,467852,,,
10000092,90990151,20190708,GEN,HW20723420-6,USD,10633,20000,2126600,,,
10000092,90990153,20190709,GEN,HW20723420-6,USD,10633,20000,2126600,,,
10000092,90990180,20190712,GEN,HW20723420-6,USD,10633,20000,2126600,,,
10000202,90990767,20190823,GEN,PO 2019/0142,USD,10633,3600,382788,,,
10000202,90990768,20190823,GEN,PO 2019/0155,USD,10633,2700,287091,,,
10000237,90990333,20190830,GEN,5010854242,USD,10633,990,105267,,,
10000237,90990217,20190830,GEN,5010845336,USD,10633,990,105267,,,
10000238,90990410,20190930,GEN,5010873102,USD,10633,198,21053,,,
10000248,90990335,20190629,GEN,151631262,USD,10633,14300,1520519,,,
10000551,90990790-1,20191027,GEN,CIGSHHHW-PO-HW20819012-1,USD,10633,82860,8810504,,,
10000551,90990790-2,20191027,GEN,CIGSHHHW-PO-HW20819012-1,USD,10633,115617.32,12293590,,,
10000012,90990528,20190830,GEN,KWA1904-025-035P,USD,10633,128800,13695304,,,
10000012,90990565,20190830,GEN,KWA1904-025-035P,USD,10633,19200,2041536,,,
10000012,90990566,20190830,GEN,KWC1904-Q49-067D,USD,10633,144000,15311520,,,
10000012,90990595,20190830,GEN,KWC1904-Q49-067D,USD,10633,536000,56992880,,,
10000012,90990620,20190830,GEN,KWC1904-Q49-067D,USD,10633,512000,54440960,,,
10000012,90990621,20190830,GEN,KWC1904-Q49-067D,USD,10633,91200,9697296,,,
10000012,90990734,20190930,GEN,KWC1904-Q49-067D,USD,10633,148000,15736840,,,
10000012,90990004,20190731,GEN,KWA1902-025-020P,USD,10633,10200,1084566,,,
10000012,90990005,20190731,GEN,KWA1902-025-024P,USD,10633,2400,255192,,,
10000012,90990006,20190731,GEN,KWA1902-025-035P,USD,10633,750,79748,,,
10000012,90990007,20190731,GEN,KWA1903-Q49-005P,USD,10633,5850,622031,,,
10000012,90990008,20190731,GEN,KWA1903-025-018P,USD,10633,16800,1786344,,,
10000012,90990275,20190731,GEN,KWA1902-025-028P,USD,10633,11400,1212162,,,
10000012,90990276,20190731,GEN,KWA1903-025-006P,USD,10633,2850,303041,,,
10000012,90990309,20190830,GEN,KWA1903-025-006P,USD,10633,7500,797475,,,
10000012,90990389,20190830,GEN,KWA1903-025-006P,USD,10633,1350,143546,,,
10000012,90990390,20190830,GEN,KWA1903-025-010P,USD,10633,31650,3365345,,,
10000039,90990149,20190731,GEN,79N040140,USD,10633,9880,1050540,,,
10000039,90990150,20190731,GEN,79N040141,USD,10633,7410,787905,,,
10000039,90990569,20190830,GEN,79N040735,USD,10633,3705,393953,,,
10000039,90990571,20190830,GEN,79N040142,USD,10633,3705,393953,,,
10000039,90990572,20190830,GEN,79N040143,USD,10633,1235,131318,,,
10000039,90990574,20190830,GEN,79N040314,USD,10633,6175,656588,,,
10000039,90990596,20190830,GEN,79N040735,USD,10633,2470,262635,,,
10000039,90990597,20190830,GEN,79N040736,USD,10633,8645,919223,,,
10000039,90990598,20190830,GEN,79N041054,USD,10633,17290,1838446,,,
10000039,90990599,20190830,GEN,79N041055,USD,10633,17290,1838446,,,
10000039,90990606,20190830,GEN,79N040871,USD,10633,9880,1050540,,,
10000039,90990607,20190830,GEN,79M005566,USD,10633,9880,1050540,,,
10000039,90990670,20190930,GEN,79N041056,USD,10633,6175,656588,,,
10000039,90990010,20190731,GEN,79N039174,USD,10633,3913,416069,,,
10000039,90990011,20190731,GEN,79N039415,USD,10633,3913,416069,,,
10000039,90990206,20190731,GEN,79N039639,USD,10633,2236,237754,,,
10000039,90990207,20190731,GEN,79N039834,USD,10633,2795,297192,,,
10000039,90990330,20190731,GEN,79N039957,USD,10633,1118,118877,,,
10000039,90990398,20190830,GEN,79N039957,USD,10633,559,59438,,,
10000039,90990447,20190830,GEN,79N039957,USD,10633,1118,118877,,,
10000039,90990448,20190830,GEN,79N040156,USD,10633,1677,178315,,,
10000039,90990511,20190830,GEN,79N040156,USD,10633,559,59438,,,
10000039,90990512,20190830,GEN,79N040298,USD,10633,17888,1902031,,,
10000039,90990514,20190830,GEN,79N040299,USD,10633,17888,1902031,,,
10000039,90990516,20190830,GEN,79N040300,USD,10633,5031,534946,,,
10000039,90990622,20190830,GEN,79N040300,USD,10633,559,59438,,,
10000039,90990642,20190930,GEN,79N040300,USD,10633,1118,118877,,,
10000039,90990677,20190930,GEN,79N040300,USD,10633,1118,118877,,,
10000039,90990717,20190930,GEN,79N040300,USD,10633,2795,297192,,,
10000039,90990718,20190930,GEN,79N040562,USD,10633,7826,832139,,,
10000039,90990719,20190930,GEN,79N040455,USD,10633,2795,297192,,,
10000039,90990009,20190731,GEN,79M004846,USD,10633,34800,3700284,,,
10000039,90990169,20190731,GEN,79M004846,USD,10633,66000,7017780,,,
10000039,90990208,20190731,GEN,79N039974,USD,10633,26400,2807112,,,
10000039,90990680,20190930,GEN,79M004846,USD,10633,7200,765576,,,
10000039,90990720,20190930,GEN,79M004846,USD,10633,15600,1658748,,,
10000039,90990774,20190930,GEN,79M004846,USD,10633,26400,2807112,,,
10000039,90990775,20190930,GEN,79N039974,USD,10633,50400,5359032,,,
10000039,90990776,20190930,GEN,79N039975,USD,10633,15600,1658748,,,
10000039,90990804,20190930,GEN,79N040994,USD,10633,10200,1084566,,,
10000039,90990805,20190930,GEN,79N040995,USD,10633,15000,1594950,,,
10000039,90990826,20191031,GEN,79N040995,USD,10633,15000,1594950,,,
10000039,90990827,20191031,GEN,79N040996,USD,10633,16200,1722546,,,
10000054,90990311,20190626,GEN,2020261282,USD,10633,21715,2308956,,,
10000074,90990294,20190708,GEN,3534295,USD,10633,108750,11563388,,,
10000074,90990403,20190719,GEN,3553930,USD,10633,36250,3854463,,,
10000074,90990449,20190725,GEN,3552931,USD,10633,36250,3854463,,,
10000074,90990455,20190726,GEN,3557314,USD,10633,36250,3854463,,,
10000083,90990737,20190902,GEN,4503243409,USD,10633,15000,1594950,,,
10000083,90990738,20190902,GEN,4503266977,USD,10633,45000,4784850,,,
10000091,90990739-1,20190917,GEN,3500109237,USD,10633,13000,1382290,,,
10000091,90990739-2,20190917,GEN,3500109237,USD,10633,6500,691145,,,
10000093,90990246,20190716,GEN,4500138364,USD,10633,8580,912311,,,
10000093,90990605,20190825,GEN,4500139102,USD,10633,25740,2736934,,,
10000093,90990216,20190714,GEN,4500137504,USD,10633,1700,180761,,,
10000093,90990408,20190803,GEN,4500137504,USD,10633,5100,542283,,,
10000093,90990222,20190715,GEN,4500137115,USD,10633,11505,1223327,,,
10000093,90990362,20190730,GEN,4500137115,USD,10633,10620,1129225,,,
10000093,90990364,20190730,GEN,4500137504,USD,10633,10620,1129225,,,
10000093,90990406,20190803,GEN,4500137504,USD,10633,44250,4705103,,,
10000093,90990439-1,20190806,GEN,4500137504,USD,10633,15930,1693837,,,
10000093,90990439-2,20190806,GEN,4500137504,USD,10633,51330,5457919,,,
10000093,90990440,20190806,GEN,4500137504,USD,10633,10620,1129225,,,
10000093,90990441,20190806,GEN,4500138182,USD,10633,12390,1317429,,,
10000093,90990442,20190806,GEN,4500137970,USD,10633,38940,4140490,,,
10000093,90990443,20190806,GEN,4500137970,USD,10633,885,94102,,,
10000093,90990444,20190806,GEN,4500138182,USD,10633,14160,1505633,,,
10000093,90990445,20190806,GEN,4500138182,USD,10633,6195,658714,,,
10000093,90990460,20190810,GEN,4500138182,USD,10633,7080,752816,,,
10000093,90990462,20190810,GEN,4500138743,USD,10633,30975,3293572,,,
10000093,90990531,20190816,GEN,4500139102,USD,10633,35400,3764082,,,
10000093,90990637,20190907,GEN,4500141376,USD,10633,61950,6587144,,,
10000115,90990534,20190801,GEN,4014041533,USD,10633,13200,1403556,,,
10000117,90990624,20190827,GEN,3012082933,USD,10633,2700,287091,,,
10000117,90990646-1,20190908,GEN,3012130684,USD,10633,6300,669879,,,
10000117,90990646-2,20190908,GEN,3012130684,USD,10633,26100,2775213,,,
10000117,90990648,20190908,GEN,3012134579,USD,10633,9000,956970,,,
10000117,90990650,20190908,GEN,3012154281,USD,10633,18900,2009637,,,
10000117,90990724,20190916,GEN,3012199239,USD,10633,102600,10909458,,,
10000117,90990725,20190916,GEN,3012201093,USD,10633,1800,191394,,,
10000117,90990777,20190924,GEN,3012201093,USD,10633,25200,2679516,,,
10000132,90990578,20190804,GEN,PO45456,USD,10633,6000,637980,,,
10000132,90990543,20190802,GEN,PO45456,USD,10633,6400,680512,,,
