Customer account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose,,,
50000005,90990634,20190905,OR,21201945517-190705,USD,10633,0.19,20,,,,,,
50000005,90990635,20190905,OR,21201928171-190706,USD,10633,30.81,3276,,,,,,
50000005,90990639,20190905,OR,21201946405-190709,USD,10633,21.6,2297,,,,,,
50000005,90990640,20190905,OR,21201946411-190709,USD,10633,1.98,211,,,,,,
50000005,90990641,20190905,OR,21201946411-190709,USD,10633,0.07,7,,,,,,
50000005,90990643,20190905,OR,21201946411-190709,USD,10633,0.14,15,,,,,,
50000005,90990644,20190905,OR,21201946411-190709,USD,10633,0.25,26,,,,,,
50000005,90990645,20190905,OR,21201946411-190709,USD,10633,1.19,127,,,,,,
50000005,90990647,20190905,OR,21201946411-190709,USD,10633,0.49,52,,,,,,
50000005,90990649,20190905,OR,21201946411-190709,USD,10633,0.05,5,,,,,,
50000005,90990651,20190905,OR,21201946405-190709,USD,10633,279.97,29769,,,,,,
50000005,90990652,20190905,OR,21201946405-190709,USD,10633,30.45,3238,,,,,,
50000005,90990653,20190905,OR,21201946405-190709,USD,10633,84.62,8998,,,,,,
50000005,90990655,20190905,OR,21201946405-190709,USD,10633,38.36,4078,,,,,,
50000005,90990657,20190905,OR,21201946405-190709,USD,10633,66.37,7057,,,,,,
50000005,90990659,20190905,OR,21201946405-190709,USD,10633,151.28,16086,,,,,,
50000005,90990661,20190905,OR,21201946405-190709,USD,10633,150.5,16003,,,,,,
50000005,90990665,20190905,OR,21201946411-190710,USD,10633,2355.28,250437,,,,,,
50000005,90990666,20190905,OR,21201946411-190710,USD,10633,15.27,1624,,,,,,
50000005,90990667,20190905,OR,,USD,10633,307.86,32734,,,,,,
50000005,90990668,20190905,OR,21201946411-190710,USD,10633,21.72,2309,,,,,,
50000005,90990669,20190905,OR,21201946411-190710,USD,10633,17.62,1873,,,,,,
50000005,90990674,20190905,OR,21201946526-190711,USD,10633,472.45,50235,,,,,,
50000005,90990675,20190905,OR,21201946526-190711,USD,10633,401.13,42652,,,,,,
50000005,90990676,20190905,OR,21201946411-190711,USD,10633,161.51,17173,,,,,,
50000005,90990678,20190905,OR,21201946411-190711,USD,10633,13.58,1444,,,,,,
50000005,90990679,20190905,OR,21201946411-190711,USD,10633,0.06,6,,,,,,
50000005,90990681,20190905,OR,21201946411-190711,USD,10633,0.17,18,,,,,,
50000005,90990682,20190905,OR,21201946411-190711,USD,10633,7.11,756,,,,,,
50000005,90990684,20190905,OR,21201946405-190711,USD,10633,5.41,575,,,,,,
50000005,90990685,20190905,OR,21201946405-190711,USD,10633,14.47,1539,,,,,,
50000005,90990686,20190905,OR,21201946405-190711,USD,10633,23.16,2463,,,,,,
50000005,90990687,20190905,OR,21201946405-190711,USD,10633,23.4,2488,,,,,,
50000005,90990688,20190905,OR,21201946405-190711,USD,10633,360,38279,,,,,,
50000005,90990689,20190905,OR,21201946405-190711,USD,10633,516,54866,,,,,,
50000005,90990690,20190905,OR,21201946405-190711,USD,10633,13.63,1449,,,,,,
50000005,90990691,20190905,OR,21201946405-190711,USD,10633,28.85,3068,,,,,,
50000005,90990692,20190905,OR,21201946405-190711,USD,10633,65.06,6918,,,,,,
50000005,90990693,20190905,OR,21201946405-190711,USD,10633,114.61,12187,,,,,,
50000005,90990697,20190905,OR,21201946411-190712,USD,10633,127.86,13595,,,,,,
50000005,90990698,20190905,OR,21201946411-190712,USD,10633,1.25,133,,,,,,
50000005,90990699,20190905,OR,21201946405-190712,USD,10633,8.39,892,,,,,,
50000005,90990700,20190905,OR,21201946411-190712,USD,10633,0.16,17,,,,,,
50000005,90990701,20190905,OR,21201946405-190712,USD,10633,906,96335,,,,,,
50000005,90990702,20190905,OR,21201946405-190712,USD,10633,1298.6,138080,,,,,,
50000005,90990703,20190905,OR,21201946405-190712,USD,10633,22.2,2360,,,,,,
50000005,90990704,20190905,OR,21201946405-190712,USD,10633,97.74,10393,,,,,,
50000005,90990705,20190905,OR,21201946405-190712,USD,10633,44.99,4784,,,,,,
50000005,90990706,20190905,OR,21201946405-190712,USD,10633,163.74,17411,,,,,,
50000005,90990707,20190905,OR,21201946405-190712,USD,10633,480.73,51116,,,,,,
50000005,90990708,20190905,OR,21201946405-190712,USD,10633,167.77,17839,,,,,,
50000005,90990709,20190905,OR,21201946405-190712,USD,10633,288.44,30670,,,,,,
50000005,90990710,20190905,OR,21201946411-190713,USD,10633,149.39,15885,,,,,,
50000005,90990711,20190905,OR,21201946411-190713,USD,10633,0.06,6,,,,,,
50000005,90990712,20190905,OR,21201946411-190715,USD,10633,76.71,8157,,,,,,
50000005,90990713,20190905,OR,21201946411-190715,USD,10633,1.65,176,,,,,,
50000005,90990714,20190905,OR,21201946405-190715,USD,10633,0.47,50,,,,,,
50000005,90990716,20190905,OR,21201946405-190716,USD,10633,335.52,35676,,,,,,
50000005,90990722,20190905,OR,21201946411-190717,USD,10633,203.23,21609,,,,,,
50000005,90990729,20190905,OR,21201946526-190718,USD,10633,19.19,2040,,,,,,
50000005,90990730,20190905,OR,21201946526-190718,USD,10633,89.59,9526,,,,,,
50000005,90990731,20190905,OR,21201946411-190718,USD,10633,873.47,92876,,,,,,
50000005,90990732,20190905,OR,21201946411-190718,USD,10633,3.49,371,,,,,,
50000005,90990733,20190905,OR,21201946405-190718,USD,10633,5.36,570,,,,,,
50000005,90990735,20190905,OR,21201946411-190718,USD,10633,108.6,11547,,,,,,
50000005,90990736,20190905,OR,21201946405-190718,USD,10633,20.26,2155,,,,,,
50000005,90990741,20190905,OR,21201941260-190619,USD,10633,0.02,2,,,,,,
50000005,90990742,20190905,OR,21201941260-190619,USD,10633,114.03,12124,,,,,,
50000005,90990743,20190905,OR,21201941260-190619,USD,10633,38.46,4089,,,,,,
50000005,90990744,20190905,OR,21201941260-190619,USD,10633,0.72,76,,,,,,
50000005,90990745,20190905,OR,21201941260-190619,USD,10633,11.78,1253,,,,,,
50000005,90990746,20190905,OR,21201941260-190620,USD,10633,21.29,2264,,,,,,
50000005,90990747,20190905,OR,21201941260-190620,USD,10633,57.01,6062,,,,,,
50000005,90990748,20190905,OR,21201941260-190620,USD,10633,8.31,884,,,,,,
50000005,90990749,20190905,OR,21201941260-190620,USD,10633,31.81,3382,,,,,,
50000005,90990750,20190905,OR,,USD,10633,11.44,1216,,,,,,
50000005,90990751,20190905,OR,21201946411-190719,USD,10633,153.43,16314,,,,,,
50000005,90990752,20190905,OR,21201946411-190719,USD,10633,1.66,176,,,,,,
50000005,90990753,20190905,OR,21201946411-190719,USD,10633,4.53,481,,,,,,
50000005,90990754,20190905,OR,21201946411-190719,USD,10633,0.18,20,,,,,,
50000005,90990755,20190905,OR,21201946411-190719,USD,10633,0.13,14,,,,,,
50000005,90990756,20190905,OR,21201946405-190719,USD,10633,12.88,1370,,,,,,
50000005,90990757,20190905,OR,21201946405-190719,USD,10633,6.64,706,,,,,,
50000005,90990758,20190905,OR,21201946405-190719,USD,10633,0.46,49,,,,,,
50000005,90990759,20190905,OR,21201946405-190719,USD,10633,1.27,135,,,,,,
50000005,90990760,20190905,OR,21201946405-190719,USD,10633,3.13,333,,,,,,
50000005,90990761,20190905,OR,21201946405-190719,USD,10633,57.04,6065,,,,,,
50000005,90990762,20190905,OR,21201946526-190722,USD,10633,151.09,16065,,,,,,
50000005,90990763,20190905,OR,21201946526-190722,USD,10633,236.2,25115,,,,,,
50000005,90990764,20190905,OR,21201946411-190722,USD,10633,52.49,5581,,,,,,
50000005,90990765,20190905,OR,21201946411-190723,USD,10633,5.38,572,,,,,,
50000005,90990766,20190905,OR,21201946405-190723,USD,10633,0.24,25,,,,,,
50000005,90990770,20190905,OR,21201946411-190725,USD,10633,41.72,4436,,,,,,
50000005,90990771,20190905,OR,21201946405-190725,USD,10633,243.19,25858,,,,,,
50000005,90990772,20190905,OR,21201946405-190725,USD,10633,952,101226,,,,,,
50000005,90990773,20190905,OR,21201946405-190725,USD,10633,969.6,103098,,,,,,
50000005,90990779,20191005,OR,21201941260-190627,USD,10633,34.65,3684,,,,,,
50000005,90990780,20191005,OR,21201941260-190627,USD,10633,7.2,766,,,,,,
50000005,90990781,20191005,OR,21201941260-190621,USD,10633,80.96,8608,,,,,,
50000005,90990782,20191005,OR,21201941260-190621,USD,10633,56.55,6013,,,,,,
50000005,90990783,20191005,OR,21201941260-190627,USD,10633,2541.24,270210,,,,,,
50000005,90990786,20191005,OR,21201941260-190627,USD,10633,4.74,504,,,,,,
50000005,90990789,20191005,OR,21201941260-190627,USD,10633,18.16,1931,,,,,,
50000005,90990791,20191005,OR,21201941260-190627,USD,10633,127.36,13542,,,,,,
50000005,90990792,20191005,OR,21201941260-190621,USD,10633,541.56,57584,,,,,,
50000005,90990793,20191005,OR,21201941260-190627,USD,10633,19.09,2030,,,,,,
50000005,90990794,20191005,OR,21201946526-190726,USD,10633,251.81,26775,,,,,,
50000005,90990795,20191005,OR,21201946526-190726,USD,10633,213.8,22733,,,,,,
50000005,90990796,20191005,OR,21201946526-190726,USD,10633,2.77,295,,,,,,
50000005,90990797,20191005,OR,21201946411-190726,USD,10633,25.74,2737,,,,,,
50000005,90990798,20191005,OR,21201947598-190727,USD,10633,22.12,2352,,,,,,
50000005,90990799,20191005,OR,21201946405-190729,USD,10633,265.68,28250,,,,,,
50000005,90990800,20191005,OR,21201946411-190729,USD,10633,11.88,1263,,,,,,
50000005,90990801,20191005,OR,21201946411-190729,USD,10633,0.83,88,,,,,,
50000005,90990802,20191005,OR,21201946411-190729,USD,10633,0.85,90,,,,,,
50000005,90990813,20191005,OR,21201946411-190731,USD,10633,137.28,14597,,,,,,
50000005,90990814,20191005,OR,21201946411-190731,USD,10633,1.03,110,,,,,,
50000005,90990816,20191005,OR,21201946411-190731,USD,10633,6.23,663,,,,,,
50000005,90990817,20191005,OR,21201946411-190731,USD,10633,14.14,1503,,,,,,
50000005,90990819,20191005,OR,21201946405-190731,USD,10633,5.83,620,,,,,,
50000005,90990820,20191005,OR,21201946411-190801,USD,10633,49.75,5290,,,,,,
50000005,90990821,20191005,OR,21201946405-190801,USD,10633,23.39,2487,,,,,,
50000005,90990822,20191005,OR,21201946405-190801,USD,10633,24.18,2571,,,,,,
50000005,90990823,20191005,OR,21201946411-190801,USD,10633,79.22,8423,,,,,,
50000005,90990824,20191005,OR,21201946411-190801,USD,10633,10.57,1124,,,,,,
50000005,90990825,20191005,OR,21201946405-190801,USD,10633,88.35,9394,,,,,,
50000005,90990833,20191005,OR,21201946411-190802,USD,10633,216.49,23020,,,,,,
50000005,90990834,20191005,OR,21201946411-190802,USD,10633,3.59,382,,,,,,
50000005,90990835,20191005,OR,21201946411-190802,USD,10633,5.2,553,,,,,,
50000005,90990836,20191005,OR,21201946411-190802,USD,10633,10.37,1103,,,,,,
50000005,90990837,20191005,OR,21201946405-190802,USD,10633,5799.58,616669,,,,,,
50000005,90990838,20191005,OR,21201946405-190802,USD,10633,248.16,26387,,,,,,
50000005,90990840,20191005,OR,21201946411-190804,USD,10633,5.2,553,,,,,,
50000005,90990841,20191005,OR,21201946411-190804,USD,10633,4.27,454,,,,,,
50000005,90990843,20191005,OR,21201946405-190804,USD,10633,248.82,26457,,,,,,
50000005,90990845,20191005,OR,21201946526-190805,USD,10633,2573.27,273616,,,,,,
50000005,90990846,20191005,OR,21201946526-190805,USD,10633,242.22,25755,,,,,,
50000005,90990847,20191005,OR,21201946526-190805,USD,10633,150.68,16022,,,,,,
50000005,90990848,20191005,OR,21201946526-190805,USD,10633,43.66,4642,,,,,,
50000005,90990849,20191005,OR,21201946526-190805,USD,10633,236.64,25162,,,,,,
50000005,90990850,20191005,OR,21201946526-190805,USD,10633,0.9,96,,,,,,
50000005,90990852,20191005,OR,21201946526-190805,USD,10633,324.55,34509,,,,,,
50000005,90990854,20191005,OR,21201946526-190805,USD,10633,779.4,82874,,,,,,
50000005,90990855,20191005,OR,21201946411-190805,USD,10633,195.15,20750,,,,,,
50000005,90990856,20191005,OR,21201946526-190805,USD,10633,196.38,20881,,,,,,
50000005,90990857,20191005,OR,21201946411-190805,USD,10633,473.55,50353,,,,,,
50000005,90990858,20191005,OR,21201946411-190805,USD,10633,779.82,82919,,,,,,
50000005,90990859,20191005,OR,21201946411-190805,USD,10633,87.72,9327,,,,,,
50000005,90990860,20191005,OR,21201946405-190805,USD,10633,20.62,2193,,,,,,
50000005,90990861,20191005,OR,21201946405-190805,USD,10633,1.23,131,,,,,,
50000005,90990862,20191005,OR,21201946526-190805,USD,10633,571.95,60815,,,,,,
50000005,90990864,20191005,OR,21201946411-190806,USD,10633,458.94,48799,,,,,,
